ggis_rowid,ggis_country_status,ggis_global_slug_coverage,ggis_peer_deviation,ggis_lag_affected
397,strong,0.698051948051948,0.01995798319327724,false
398,strong,0.7581168831168831,0.023013750954927303,false
399,strong,0.7159090909090909,0.031512605042016806,false
400,strong,0.7987012987012987,0.028170359052712035,false
401,strong,0.7467532467532467,0.0269289533995416,false
402,strong,0.7857142857142857,0.027024446142093095,false
403,strong,0.8116883116883117,0.020339954163483664,false
404,strong,0.7905844155844156,0.022822765469824424,false
405,strong,0.801948051948052,0.019671504965622533,false
406,strong,0.801948051948052,0.018907563025210017,false
407,strong,0.8068181818181818,0.01632925897631765,false
408,strong,0.827922077922078,0.01795263559969429,false
409,strong,0.8051948051948052,0.017188693659281884,false
410,strong,0.8116883116883117,0.0181436210847975,false
411,strong,0.797077922077922,0.014992360580595832,false
412,strong,0.7905844155844156,0.006588999236058157,false
413,strong,0.7613636363636364,0.006970970206264471,false
414,strong,0.7516233766233766,0.0041061879297173975,false
415,strong,0.7272727272727273,0.004583651642475095,false
416,strong,0.676948051948052,0.0032467532467533866,false
417,strong,0.6737012987012987,0.004679144385026701,false
418,strong,0.6737012987012987,0.01995798319327735,false
419,strong,0.6623376623376623,0.008880825057295483,false
420,strong,0.5714285714285714,0.002769289533995245,false
421,strong,0.6038961038961039,0.003437738731856488,true
422,reporting,0.44642857142857145,-0.002578304048892366,true
423,reporting,0.30844155844155846,-0.001814362108479739,true
424,strong,0.0,0.0,true
425,nascent,0.18506493506493507,0.02694805194805197,false
426,nascent,0.18993506493506493,0.026948051948051888,false
427,nascent,0.19480519480519481,0.028733766233766223,false
428,nascent,0.19480519480519481,0.027029220779220764,false
429,nascent,0.2435064935064935,0.03327922077922074,false
430,strong,0.23863636363636365,0.026379870129870142,false
431,strong,0.23863636363636365,0.025811688311688313,false
432,strong,0.23863636363636365,0.022159090909090934,false
433,strong,0.23863636363636365,0.022483766233766217,false
434,strong,0.24025974025974026,0.021996753246753237,false
435,strong,0.237012987012987,0.01939935064935064,false
436,strong,0.23863636363636365,0.020535714285714296,false
437,strong,0.24025974025974026,0.022483766233766245,false
438,strong,0.24025974025974026,0.017775974025974,false
439,strong,0.32305194805194803,0.0035714285714286143,false
440,strong,0.34415584415584416,0.0005681818181817455,false
441,reporting,0.3457792207792208,-0.001704545454545403,false
442,strong,0.3457792207792208,0.0010330578512397492,false
443,strong,0.3457792207792208,0.0039846517119244695,false
444,strong,0.3474025974025974,0.0011806375442739436,false
445,reporting,0.336038961038961,-0.023785996612083582,false
446,reporting,0.30844155844155846,-0.05093344155844154,false
447,reporting,0.3344155844155844,-0.05012175324675322,false
448,reporting,0.3246753246753247,-0.03706709956709958,false
449,reporting,0.4074675324675325,-0.03131764069264065,false
450,reporting,0.37662337662337664,-0.04829545454545442,false
451,strong,0.4577922077922078,0.016166125541125564,false
452,strong,0.4577922077922078,0.016369047619047616,false
453,strong,0.461038961038961,0.032405094905094856,false
454,strong,0.48214285714285715,0.03646353646353656,false
455,strong,0.43344155844155846,0.010401635401635467,false
456,strong,0.4318181818181818,0.006673881673881721,false
457,strong,0.4594155844155844,0.009379509379509321,false
458,strong,0.4366883116883117,0.018808777429467127,false
459,strong,0.4724025974025974,0.03300865800865793,false
460,strong,0.4724025974025974,0.030844155844155785,false
461,strong,0.4642857142857143,0.04007711038961048,false
462,strong,0.5113636363636364,0.07112418831168832,false
463,strong,0.5211038961038961,0.08082447855175118,false
464,strong,0.5438311688311688,0.08451397087760726,false
465,strong,0.5227272727272727,0.07747933884297525,false
466,strong,0.5227272727272727,0.07556080283353017,false
467,strong,0.547077922077922,0.07511806375442731,false
468,strong,0.5227272727272727,0.07428177882723341,false
469,strong,0.6055194805194806,0.08840023612750902,false
470,strong,0.6428571428571429,0.08776072412436042,false
471,strong,0.6574675324675324,0.08490751672569863,false
472,strong,0.6737012987012987,0.08456316410861864,false
473,strong,0.6785714285714286,0.0846615505706414,false
474,strong,0.7321428571428571,0.09115505706414795,false
475,strong,0.7435064935064936,0.08953168044077131,false
476,strong,0.7175324675324676,0.08603896103896114,false
477,strong,0.775974025974026,0.08697363242817802,false
478,strong,0.7224025974025974,0.08574380165289242,false
479,strong,0.810064935064935,0.09459858323494685,false
480,strong,0.7548701298701299,0.08579299488390402,false
481,strong,0.7954545454545454,0.08884297520661144,false
482,strong,0.8214285714285714,0.09046635182998841,false
483,strong,0.797077922077922,0.08820346320346317,false
484,strong,0.8084415584415584,0.08849862258953167,false
485,strong,0.8084415584415584,0.08805588351042892,false
486,strong,0.8133116883116883,0.08490751672569852,false
487,strong,0.836038961038961,0.08776072412436065,false
488,strong,0.810064935064935,0.08421881149153854,false
489,strong,0.8165584415584416,0.08815426997245202,false
490,strong,0.8035714285714286,0.08323494687131039,false
491,strong,0.8441558441558441,0.11545651318378569,false
492,strong,0.7824675324675324,0.0713301849665483,false
493,strong,0.8068181818181818,0.09573002754820925,false
494,strong,0.7808441558441559,0.09149940968122794,false
495,strong,0.724025974025974,0.06577134986225897,false
496,strong,0.724025974025974,0.06773907910271537,false
497,strong,0.6753246753246753,0.06478748524203082,false
498,strong,0.711038961038961,0.0610487996851633,false
499,strong,0.6217532467532467,0.05327626918535999,false
500,strong,0.6542207792207793,0.051898858717040475,true
501,strong,0.4935064935064935,0.04776662731208192,true
502,strong,0.3555194805194805,0.035615899252262884,true
